SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF,CATEG_REG
SUSPENSO(A) - DECISÃO ADM,08.773.135/0001-00,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,25224,2020-10-29 00:00:00,2026-05-19 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,11.396.633/0001-87,3A COMPANHIA SECURITIZADORA,RIO DE JANEIRO,21954,2010-03-08 00:00:00,2015-12-18 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,RJ,Categoria B
ATIVO,01.547.749/0001-16,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,RIO DE JANEIRO,16330,1997-07-11 00:00:00,1997-07-11 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,RJ,Categoria B
ATIVO,01.851.771/0001-55,524 PARTICIPAÇOES SA,RIO DE JANEIRO,16284,1997-05-30 00:00:00,1997-05-30 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,RJ,Categoria A
CANCELADA,34.033.779/0001-63,ABN AMRO ARRENDAMENTO MERCANTIL SA,BARUERI,15270,1995-12-20 00:00:00,2009-09-30 00:00:00,Arrendamento Mercantil,PRIVADO,SEDE,SP,Categoria A
CANCELADA,07.794.351/0001-60,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,SÃO PAULO,20206,2006-07-24 00:00:00,2010-05-28 00:00:00,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SEDE,SP,Categoria A
ATIVO,07.636.657/0001-99,ACO VERDE DO BRASIL S.A,AÇAILÂNDIA,26425,2021-11-29 00:00:00,2021-11-29 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,MA,Categoria B
CANCELADA,60.664.810/0001-74,AÇOS VILLARES SA,SÃO PAULO,108,1969-05-16 00:00:00,2010-12-30 00:00:00,Metalurgia e Siderurgia,ESTRANGEIRO,SEDE,SP,Categoria A
CANCELADA,07.825.881/0001-29,ACRUX SECURITIZADORA S/A,RIO DE JANEIRO,20230,2006-08-09 00:00:00,2016-02-04 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,RJ,Categoria B
CANCELADA,47.080.619/0001-17,AÇUCAR GUARANI S/A,OLÍMPIA,20940,2007-07-20 00:00:00,2010-08-13 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,10.345.009/0001-98,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,SÃO PAULO,21725,2009-06-24 00:00:00,2022-07-12 00:00:00,Farmacêutico e Higiene,ESTRANGEIRO,SEDE,SP,Categoria A
ATIVO,08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,SÃO PAULO,23396,2014-05-21 00:00:00,2014-05-21 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SEDE,SP,Categoria A
ATIVO,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,CAUCAIA,25283,2020-11-09 00:00:00,2020-11-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,CE,Categoria A
ATIVO,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,CAUCAIA,25283,2020-11-09 00:00:00,2020-11-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,CE,Categoria A
CANCELADA,01.917.705/0001-30,AES ELPA SA,BARUERI,19313,2002-10-14 00:00:00,2018-09-05 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,SP,Categoria A
CANCELADA,04.128.563/0001-10,AES TIETÊ ENERGIA S.A,SÃO PAULO,18970,2001-06-29 00:00:00,2021-05-13 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,04.128.563/0001-10,AES TIETÊ ENERGIA S.A,SÃO PAULO,18970,2001-06-29 00:00:00,2021-05-13 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,02.998.609/0001-27,AES TIETE SA,BARUERI,18350,1999-07-14 00:00:00,2015-10-26 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,02.998.609/0001-27,AES TIETE SA,BARUERI,18350,1999-07-14 00:00:00,2015-10-26 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
CANCELADA,02.808.481/0001-91,AETATIS SECURITIZADORA S.A.,SÃO PAULO,18104,1998-12-17 00:00:00,2016-06-24 00:00:00,Securitização de Recebíveis,PRIVADO HOLDING,SEDE,SP,Categoria B
CANCELADA,07.620.094/0001-40,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,SÃO PAULO,20150,2006-07-12 00:00:00,2017-11-24 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP,Categoria A
ATIVO,10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,RIO DE JANEIRO,22179,2010-09-24 00:00:00,2010-09-24 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,RJ,Categoria A
CANCELADA,07.698.047/0001-10,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,SÃO PAULO,20664,2007-04-19 00:00:00,2010-05-28 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
CANCELADA,11.040.082/0001-14,AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA,SÃO PAULO,21911,2009-12-22 00:00:00,2010-07-19 00:00:00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SEDE,SP,Categoria A
ATIVO,21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,GOIÂNIA,25658,2021-03-19 00:00:00,2021-03-19 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,GO,Categoria A
ATIVO,27.157.474/0001-06,ÁGUAS DE TERESINA SANEAMENTO SPE S.A.,TERESINA,25615,2021-02-25 00:00:00,2021-02-25 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PI,Categoria B
ATIVO,61.067.901/0001-95,ÁGUAS DO PARÁ A SPE S.A,BELÉM,27979,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA,Categoria B
ATIVO,61.067.902/0001-30,ÁGUAS DO PARÁ B SPE S.A.,BRAGANÇA,27960,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA,Categoria B
ATIVO,61.067.904/0001-29,ÁGUAS DO PARÁ D SPE S.A.,PARAUAPEBAS,27987,2026-01-15 00:00:00,2026-01-15 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO,SEDE,PA,Categoria B
