SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CEP,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF
SUSPENSO(A) - DECISÃO ADM,08.773.135/0001-00,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,4.71113e+06,25224,2020-10-29 00:00:00,2026-05-19 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP
CANCELADA,11.396.633/0001-87,3A COMPANHIA SECURITIZADORA,RIO DE JANEIRO,2.002e+07,21954,2010-03-08 00:00:00,2015-12-18 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,RJ
ATIVO,01.547.749/0001-16,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,RIO DE JANEIRO,2.2775e+07,16330,1997-07-11 00:00:00,1997-07-11 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SEDE,RJ
ATIVO,01.851.771/0001-55,524 PARTICIPAÇOES SA,RIO DE JANEIRO,2.002e+07,16284,1997-05-30 00:00:00,1997-05-30 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SEDE,RJ
CANCELADA,01.919.008/0001-19,525 PARTICIPAÇOES SA,RIO DE JANEIRO,2.22902e+07,16349,1997-07-16 00:00:00,2006-05-30 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,RJ
CANCELADA,92.659.614/0001-06,A J RENNER SA IND E PARTIP,PORTO ALEGRE,9.02401e+07,35,1969-06-24 00:00:00,1998-06-17 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,RS
CANCELADA,02.288.752/0001-25,A.P. PARTICIPAÇOES SA,RIO DE JANEIRO,2.003e+07,16802,1998-01-21 00:00:00,2004-12-23 00:00:00,Emp. Adm. Participações,ESTATAL,SEDE,RJ
CANCELADA,21.649.280/0001-33,ABC DADOS E INFORMATICA SA,SÃO PAULO,4.565e+06,13307,1988-06-03 00:00:00,1993-03-05 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
CANCELADA,02.258.274/0001-00,ABC SUPERMERCADOS SA,PETRÓPOLIS,2.5635e+07,16934,1998-02-27 00:00:00,2001-12-17 00:00:00,Comércio (Atacado e Varejo),PRIVADO,SEDE,RJ
CANCELADA,42.275.727/0001-21,ABC XTAL MICROELETRONICA SA,RIO DE JANEIRO,2.1515e+07,13005,1986-09-15 00:00:00,1997-09-11 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,RJ
CANCELADA,34.033.779/0001-63,ABN AMRO ARRENDAMENTO MERCANTIL SA,BARUERI,6.455e+06,15270,1995-12-20 00:00:00,2009-09-30 00:00:00,Arrendamento Mercantil,PRIVADO,SEDE,SP
CANCELADA,44.597.052/0001-62,ABRIL SA,SÃO PAULO,5.4259e+06,14370,1994-05-06 00:00:00,1999-12-21 00:00:00,Gráficas e Editoras,PRIVADO,SEDE,SP
CANCELADA,07.794.351/0001-60,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,SÃO PAULO,4.028e+06,20206,2006-07-24 00:00:00,2010-05-28 00:00:00,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SEDE,SP
ATIVO,07.636.657/0001-99,ACO VERDE DO BRASIL S.A,AÇAILÂNDIA,6.593e+07,26425,2021-11-29 00:00:00,2021-11-29 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,MA
CANCELADA,18.451.005/0001-04,ACOPALMA CIA INDL ACOS V PALMA,VÁRZEA DA PALMA,3.925e+07,60,1978-05-09 00:00:00,2007-08-07 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,MG
CANCELADA,61.150.660/0001-43,ACOS ANHANGUERA SA,SÃO PAULO,4.6699e+06,78,1971-10-20 00:00:00,1994-02-09 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,SP
CANCELADA,60.890.688/0001-54,ACOS DO BRASIL SA IND E COM,SANTO ANDRÉ,9.22e+06,86,1972-08-16 00:00:00,1989-12-14 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,SP
CANCELADA,92.767.409/0001-56,AÇOS FINOS PIRATINI S/A,PORTALEGRE,9.022e+07,14508,1994-07-21 00:00:00,1995-09-05 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,RS
CANCELADA,60.852.316/0001-33,ACOS IPANEMA (VILLARES) SA,SÃO PAULO,4.669e+06,10715,1977-10-20 00:00:00,1993-01-11 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,SP
CANCELADA,60.664.810/0001-74,AÇOS VILLARES SA,SÃO PAULO,5.42507e+06,108,1969-05-16 00:00:00,2010-12-30 00:00:00,Metalurgia e Siderurgia,ESTRANGEIRO,SEDE,SP
CANCELADA,13.546.353/0001-33,ACRINOR ACRILONITRILA DO NE SA,CAMAÇARI,4.281e+07,116,1981-12-23 00:00:00,2000-02-21 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,BA
CANCELADA,07.825.881/0001-29,ACRUX SECURITIZADORA S/A,RIO DE JANEIRO,2.1011e+07,20230,2006-08-09 00:00:00,2016-02-04 00:00:00,Securitização de Recebíveis,PRIVADO,SEDE,RJ
CANCELADA,02.808.627/0001-07,ACTORI PARTICIPAÇÕES SA,SÃO PAULO,4.5389e+06,18040,1998-12-09 00:00:00,2002-04-24 00:00:00,Emp. Adm. Participações,PRIVADO HOLDING,SEDE,SP
CANCELADA,47.080.619/0001-17,AÇUCAR GUARANI S/A,OLÍMPIA,1.54e+07,20940,2007-07-20 00:00:00,2010-08-13 00:00:00,"Agricultura (Açúcar, Álcool e Cana)",PRIVADO HOLDING,SEDE,SP
CANCELADA,43.631.183/0001-56,ADEPAR ASSESSORIA ADM SERV SA,PORTO ALEGRE,9.001e+07,7625,1981-04-14 00:00:00,1989-08-02 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,RS
CANCELADA,11.029.808/0001-18,ADESENE ADESIVOS NO NORDESTE SA,JOÃO PESSOA,5.8e+07,132,1974-12-10 00:00:00,2005-08-09 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,PB
CANCELADA,17.157.215/0001-13,ADUBOS VIANNA SA INDUSTRIA E COMERCIO,COTIA,6.7e+06,159,1969-09-22 00:00:00,2005-12-20 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,SP
CANCELADA,10.345.009/0001-98,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,SÃO PAULO,5.42507e+06,21725,2009-06-24 00:00:00,2022-07-12 00:00:00,Farmacêutico e Higiene,ESTRANGEIRO,SEDE,SP
ATIVO,08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,SÃO PAULO,1.452e+06,23396,2014-05-21 00:00:00,2014-05-21 00:00:00,"Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SEDE,SP
ATIVO,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,CAUCAIA,6.1642e+07,25283,2020-11-09 00:00:00,2020-11-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,CE
ATIVO,12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,CAUCAIA,6.1642e+07,25283,2020-11-09 00:00:00,2020-11-09 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,CE
CANCELADA,33.037.169/0001-75,AEROFOTO CRUZEIRO SA,RIO DE JANEIRO,2.103e+07,167,1977-07-20 00:00:00,1992-12-01 00:00:00,Serviços Diversos,PRIVADO,SEDE,RJ
CANCELADA,01.917.705/0001-30,AES ELPA SA,BARUERI,6.46004e+06,19313,2002-10-14 00:00:00,2018-09-05 00:00:00,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SEDE,SP
