SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
ATIVO,BANCO DO BRASIL S.A.,BRASÍLIA,00.000.000/0001-91,Bancos,ESTATAL,DF
ATIVO,BRB BANCO DE BRASILIA SA,BRASÍLIA,00.000.208/0001-00,Bancos,ESTATAL,DF
ATIVO,AXIA ENERGIA S.A.,RIO DE JANEIRO,00.001.180/0001-26,Emp. Adm. Part. - Energia Elétrica,ESTATAL,RJ
CANCELADA,BWU VIDEO SA,SÃO PAULO,00.019.388/0001-72,Serviços Diversos,PRIVADO,SP
CANCELADA,MELPAPER SA,SÃO PAULO,00.020.540/0001-37,Papel e Celulose,PRIVADO,SP
CANCELADA,INVISTA NYLON SUL AMERICANA S/A,AMERICANA,00.021.096/0001-74,Têxtil e Vestuário,PRIVADO,SP
CANCELADA,UNIBANCO HOLDINGS S.A.,SÃO PAULO,00.022.034/0001-87,Emp. Adm. Part. - Intermediação Financeira,PRIVADO HOLDING,SP
CANCELADA,CBCC PARTICIPAÇÕES SA,RIO DE JANEIRO,00.027.742/0001-00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,RJ
CANCELADA,ELEVADORES ATLAS SCHINDLER SA,SÃO PAULO,00.028.986/0001-08,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,TELECOM BRASILIA SA,BRASÍLIA,00.058.578/0001-07,Telecomunicações,PRIVADO HOLDING,DF
CANCELADA,CIMENTO TOCANTINS SA,BRASÍLIA,00.065.557/0001-00,Extração Mineral,PRIVADO,DF
ATIVO,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,BRASÍLIA,00.070.698/0001-11,Energia Elétrica,ESTATAL,DF
ATIVO,CARAMURU ALIMENTOS S.A.,ITUMBIARA,00.080.671/0001-00,Alimentos,PRIVADO,GO
CANCELADA,BANCO ÚNICO S.A.,SÃO PAULO,00.086.413/0001-30,Bancos,PRIVADO,SP
CANCELADA,MARSIAJ OLIVEIRA SA,PORTO ALEGRE,00.090.057/0001-29,Comércio (Atacado e Varejo),PRIVADO,RS
CANCELADA,CIA PESQS RECURSOS MINERAIS,RIO DE JANEIRO,00.091.652/0001-89,Serviços Diversos,ESTATAL,RJ
CANCELADA,VBC ENERGIA SA,SÃO PAULO,00.095.147/0001-02,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SP
CANCELADA,NET SERVIÇOS DE COMUNICAÇÃO S.A.,SÃO PAULO,00.108.786/0001-65,Telecomunicações,PRIVADO HOLDING,SP
CANCELADA,PILCOMAYO PARTICIPACOES SA,SÃO PAULO,00.108.813/0001-08,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,SHOPPING CENTER TACARUNA SA,RECIFE,00.115.890/0001-87,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO,PE
CANCELADA,PARNASSA SA,SÃO PAULO,00.159.138/0001-38,Emp. Adm. Participações,PRIVADO HOLDING,SP
CANCELADA,AUSTRAL INVESTIMENTOS SA,RIO DE JANEIRO,00.160.436/0001-48,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,BBV LEASING BRASIL SA ARR MERC,BARUERI,00.162.760/0001-03,Arrendamento Mercantil,PRIVADO,SP
CANCELADA,BOSFORO PARTICIPACOES SA,SÃO PAULO,00.183.435/0001-19,Emp. Adm. Participações,PRIVADO HOLDING,SP
CANCELADA,ITIQUIRA ENERGÉTICA S/A,ITIQUIRA,00.185.041/0001-08,Energia Elétrica,ESTRANGEIRO,MT
ATIVO,PARCOM PARTICIPACOES SA EM LIQUIDACAO,RIO DE JANEIRO,00.185.475/0001-08,Emp. Adm. Part. - Telecomunicações,PRIVADO HOLDING,RJ
CANCELADA,KLABIN SEGALL S/A,SÃO PAULO,00.187.032/0001-48,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,CIA INVESTS LATINOAMERICANA,RIO DE JANEIRO,00.189.469/0001-10,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,NEUMARKT TRADE AND FINANCIAL CENTER S/A,BLUMENAU,00.192.769/0001-59,Crédito Imobiliário,PRIVADO,SC
ATIVO,AUREN OPERAÇÕES S.A.,BAURU,00.194.724/0001-13,Emp. Adm. Part. - Energia Elétrica,PRIVADO HOLDING,SP
CANCELADA,ARBRA SA,RIO DE JANEIRO,00.237.000/0001-00,Emp. Adm. Participações,PRIVADO,RJ
ATIVO,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",BARUERI,00.242.184/0001-04,Serviços Transporte e Logística,PRIVADO,SP
ATIVO,FORPART S.A. - EM LIQUIDAÇÃO,RIO DE JANEIRO,00.249.786/0001-85,Emp. Adm. Part. - Telecomunicações,PRIVADO HOLDING,RJ
CANCELADA,BOMBRIL HOLDING SA,SÃO BERNARDO DO CAMPO,00.257.846/0001-01,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SP
CANCELADA,EISA ESTALEIRO ILHA SA,RIO DE JANEIRO,00.261.304/0001-02,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,RJ
CANCELADA,CIMS SA,RIO DE JANEIRO,00.272.185/0001-93,Emp. Adm. Part. - Energia Elétrica,PRIVADO,RJ
CANCELADA,SCGR EMPRS PARTICIPACOES SA,RIO DE JANEIRO,00.285.599/0001-57,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,TEGENER PARTICIPACOES SA,RIO DE JANEIRO,00.299.045/0001-09,Emp. Adm. Participações,ESTRANGEIRO,RJ
CANCELADA,BRASIL CENTRAL HOTEIS E TUR SA,SÃO PAULO,00.311.787/0001-02,Hospedagem e Turismo,PRIVADO,SP
CANCELADA,TUPIANA SA,RIO DE JANEIRO,00.313.160/0001-90,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,GRAPIA SA,RIO DE JANEIRO,00.313.162/0001-80,Emp. Adm. Participações,PRIVADO,RJ
CANCELADA,INDS NUCLEARES DO BRASIL SA,RIO DE JANEIRO,00.322.818/0001-20,Outras Atividades Industriais,ESTATAL,RJ
ATIVO,TELEC. BRASILEIRAS S.A. - TELEBRÁS,BRASÍLIA,00.336.701/0001-04,Telecomunicações,ESTATAL,DF
CANCELADA,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,SÃO PAULO,00.354.053/0001-00,Comércio (Atacado e Varejo),PRIVADO,SP
ATIVO,AXIA ENERGIA NORTE S.A.,BRASÍLIA,00.357.038/0001-16,Energia Elétrica,PRIVADO,DF
